DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2015,65.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2016,66,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2017,68.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2018,63.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2019,65.6,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,FR,2020,60.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2012,59.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2013,58.8,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2014,52.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2015,60.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2016,54.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2017,53.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2018,58.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2019,48.9,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HR,2020,54.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2009,51.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2010,58.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2011,59.3,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2012,48.5,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2013,49.2,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2014,48.4,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2015,50.1,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2016,49.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2017,49.7,
ESTAT:TEN00063(1.0),21/03/23 23:00:00,A,W1501,RT,HU,2018,46.1,
